Ym, Pr, L, W, F1, F2, F3, F4, Displacement
480062.5,0.19351562500000002,9440.625,1751.5625,2448437.5,4506250.0,8551562.5,4193750.0,2.9253714267080686
117062.5,0.186953125,8384.375,1401.5625,1098437.5,3068750.0,6048437.500000001,1381250.0,9.189575674866603
368687.50000000006,0.192421875,8609.375,1326.5625,2926562.5,1056250.0,2926562.5,1043750.0,6.6941508403122345
166562.5,0.24929687500000003,9865.625,1476.5625,3489062.5000000005,1181250.0,9310937.5,4568750.0,17.652673091702002
128062.5,0.29960937499999996,9184.375,1498.4375,7482812.5,2918750.0,2785937.5,3568750.0,39.39652934475954
338437.5,0.23617187499999998,8846.875,1557.8125,9282812.5,1493750.0,8017187.500000001,2518750.0,13.2322210538809
397562.5,0.284296875,8534.375,1642.1875,1548437.5,4943750.0,1014062.5,4206250.0,5.660027972754287
353562.5,0.29195312500000004,8628.125,1985.9375,6217187.5,3168750.0,6385937.500000001,4931250.0,3.3190975206144517
341187.50000000006,0.37835937500000005,8040.625,1982.8125,1182812.5,3918750.0,8607812.5,1418750.0,0.7116679134294309
222937.50000000003,0.336796875,9259.375,1504.6875,4304687.5,1706250.0,1885937.5,1256250.0,12.66038139972489
103312.5,0.317109375,8959.375,1554.6875,3770312.5000000005,3581250.0000000005,6582812.5,4231250.0,22.58886568502066
96437.5,0.11148437500000001,9559.375,1164.0625,4726562.5,3493750.0000000005,6610937.500000001,2456250.0,102.20805974378928
165187.5,0.169453125,8015.625,1101.5625,3657812.5,4118750.0000000005,6301562.5,1431250.0,37.04693942802293
385187.50000000006,0.179296875,9971.875,1142.1875,4389062.5,3681250.0000000005,4135937.5000000005,4693750.0,35.74970458244935
136312.5,0.12460937500000001,8028.125,1879.6875,8973437.5,2593750.0,7792187.500000001,3868750.0000000005,11.668470191383275
272437.5,0.22632812500000002,9403.125,1079.6875,7117187.5,2006250.0,7314062.500000001,1593750.0,63.93998844072854
66187.5,0.119140625,9790.625,1757.8125,9760937.5,2393750.0,8523437.5,1456250.0,59.72928940136991
441562.5,0.10492187500000001,9734.375,1379.6875,7735937.500000001,3231250.0,8720312.5,2806250.0,18.334877949929197
216062.50000000003,0.248203125,9596.875,1117.1875,1689062.5,1118750.0,9592187.5,4881250.0,19.402402852278374
74437.5,0.171640625,9715.625,1710.9375,7060937.5,4468750.0,9198437.5,2543750.0,43.48475097160383
232562.5,0.415546875,9696.875,1832.8125,5176562.5,2868750.0,2392187.5,3631250.0,8.5595159355071
379687.5,0.134453125,8584.375,1601.5625,1407812.5,3631250.0,8045312.5,4531250.0,2.893486721895229
337062.50000000006,0.447265625,9190.625,1835.9375,5401562.500000001,4268750.0,5992187.5,1281250.0,4.78045065823966
363187.5,0.173828125,9090.625,1729.6875,7510937.500000001,3543750.0,3207812.5,1618750.0,7.734561980157635
260062.5,0.13117187500000002,8415.625,1717.1875,4417187.5,1856250.0,8410937.5,3693750.0,4.9018560714591235
100562.5,0.233984375,9878.125,1351.5625,7820312.5,2543750.0,2195312.5,4518750.0,99.4402355179733
291687.5,0.293046875,8234.375,1232.8125,6329687.500000001,4818750.0,1829687.5,4606250.0,28.495913215949056
302687.5,0.37617187499999993,9471.875,1782.8125,6639062.5,4868750.0,3910937.5000000005,3231250.0,9.024361238990824
284812.5,0.16398437500000002,8840.625,1364.0625,7426562.5,1693750.0,7567187.5,3656250.0,21.233202409227015
121187.5,0.18039062500000003,9465.625,1223.4375,7567187.5,3406250.0,8185937.5,3918750.0,98.26547074481454
400312.5,0.224140625,8290.625,1439.0625,9789062.5,4393750.0,7229687.500000001,4368750.0,14.026542684371655
64812.5,0.125703125,9396.875,1551.5625,7989062.5,2193750.0,3629687.5000000005,2318750.0,74.0064870849171
482812.5,0.159609375,9503.125,1470.3125,6582812.5,1406250.0,5485937.5,3218750.0,10.256354808746623
231187.5,0.256953125,9759.375,1723.4375,5485937.5,4643750.0,9535937.5,4218750.0,11.432810836784626
139062.5,0.153046875,8284.375,1929.6875,5429687.5,4143750.0000000005,8804687.5,1831250.0,7.046120983200615
398937.50000000006,0.301796875,9809.375,1873.4375,2560937.5,1806250.0,9817187.5,2206250.0,2.2043285108721884
315062.5,0.421015625,8378.125,1107.8125,6245312.5,1231250.0,3939062.5,2906250.0,29.635705924808
77187.5,0.32367187500000005,8271.875,1785.9375,4585937.5,1631250.0,3460937.5,1643750.0,13.86539395540206
75812.5,0.18367187499999998,8196.875,1804.6875,9001562.5,3956250.0000000005,8354687.500000001,3906250.0,26.792263787319282
310937.5,0.29632812500000005,8490.625,1742.1875,2617187.5,4768750.0,1576562.5,4468750.0,5.687970975910479
221562.5,0.38273437499999996,9109.375,1292.1875,2082812.5000000002,4706250.0,9282812.5,1781250.0,13.47917778878964
288937.5,0.251484375,8665.625,1995.3125,9423437.5,3368750.0000000005,6076562.5,3156250.0,5.782048648636571
108812.5,0.10054687500000001,9828.125,1207.8125,6273437.5,3193750.0,3264062.5,4243750.0,120.10064797235692
429187.5,0.43632812499999996,8790.625,1404.6875,2223437.5,4356250.0,3151562.5,3331250.0,7.773068277848845
376937.5,0.32039062500000004,8459.375,1617.1875,3995312.5000000005,3056250.0000000005,2251562.5,4593750.0,5.39586644538555
90937.5,0.389296875,8159.375,1810.9375,1070312.5,2281250.0,2082812.5000000002,3643750.0000000005,7.094850099854119
211937.5,0.190234375,9303.125,1701.5625,7285937.5,3418750.0,5345312.5,3393750.0000000005,14.57600184510485
352187.5,0.43960937499999997,8096.875,1442.1875,3039062.5,4193750.0,6807812.500000001,4331250.0,5.996455110592625
306812.5,0.167265625,8109.375,1154.6875,8579687.5,3843750.0,2223437.5,2843750.0,37.684407903667534
359062.5,0.35210937499999995,9284.375,1217.1875,2167187.5,2468750.0,4698437.5,1943750.0,10.370058802933569
180312.5,0.443984375,9246.875,1226.5625,1942187.5,1843750.0,6779687.5,4956250.0,16.77111729614804
411312.5,0.366328125,9515.625,1023.4375,6020312.5,1593750.0,6920312.5,3831250.0000000005,45.067015662793786
401687.5,0.21867187500000002,8453.125,1067.1875,4501562.5,3343750.0,7370312.500000001,4856250.0,23.819227945934774
331562.5,0.12132812500000001,8228.125,1339.0625,5767187.500000001,3856250.0,5120312.5,3806250.0000000005,14.327837570174363
474562.50000000006,0.22085937500000002,8140.625,1395.3125,4642187.5,2806250.0,5710937.5,1306250.0,5.8414997063888485
227062.50000000003,0.305078125,8409.375,1620.3125,9226562.5,4843750.0,9367187.5,1931250.0,14.680290842067809
246312.5,0.263515625,9315.625,1148.4375,8607812.5,2718750.0,1492187.5,2293750.0,68.65771860099635
189937.5,0.38164062499999996,8934.375,1851.5625,5120312.5,2943750.0,3854687.5000000005,3981250.0,7.717284582150642
297187.5,0.271171875,8053.125,1595.3125,5373437.5,1993750.0,4923437.5,2243750.0,6.124695540220754
319187.5,0.185859375,9015.625,1570.3125,8242187.5,3756250.0,5598437.5,1493750.0,13.252468976202133
97812.5,0.139921875,8834.375,1151.5625,3348437.5000000005,1206250.0,7539062.5,3443750.0,54.89698207110569
84062.5,0.341171875,8978.125,1582.8125,2026562.5,2556250.0,6357812.5,4731250.0,16.031068879235587
484187.5,0.24601562500000002,9740.625,1867.1875,8748437.5,2618750.0,9845312.5,2656250.0,5.662900492074784
321937.5,0.270078125,9890.625,1145.3125,3601562.5,3806250.0000000005,2729687.5,3131250.0,37.25085083189913
262812.5,0.422109375,8828.125,1189.0625,3432812.5,4456250.0,4754687.5,4618750.0,27.725500135586373
176187.5,0.344453125,8953.125,1954.6875,9029687.5,3931250.0000000005,1295312.5,1368750.0,11.323339748431115
448437.5,0.35101562500000005,8615.625,1770.3125,3714062.5000000005,2956250.0,1042187.5,3681250.0000000005,3.234012983283153
345312.5,0.423203125,9121.875,1332.8125,9929687.5,2043750.0000000002,6695312.5,4106250.0,26.677502681639826
283437.5,0.11476562500000001,9353.125,1964.0625,3798437.5,3318750.0,6470312.500000001,1681250.0,3.337141657368024
268312.5,0.241640625,8003.125,1064.0625,6301562.5,1956250.0,2673437.5,2756250.0,39.52274486411717
154187.5,0.33023437499999997,8059.375,1520.3125,8326562.5,2518750.0,5907812.500000001,3293750.0,21.86673003630172
123937.5,0.34554687500000003,8396.875,1514.0625,9479687.5,2493750.0,8692187.5,2043750.0000000002,34.467197650947206
188562.5,0.40242187500000004,8128.125,1251.5625,6667187.500000001,4656250.0,6217187.5,1468750.0,32.40889385987124
68937.5,0.20554687500000002,8765.625,1845.3125,7032812.500000001,2118750.0,7089062.500000001,4943750.0,25.326004847130942
258687.5,0.364140625,8759.375,1545.3125,4079687.5,4243750.0,5795312.5,2468750.0,9.324845875326842
254562.50000000003,0.10820312500000001,9959.375,1664.0625,1885937.5,2431250.0,2139062.5,1581250.0,6.105337908985874
316437.5,0.40570312500000005,8084.375,1248.4375,2532812.5,1543750.0,9029687.5,3818750.0,6.965431608949226
266937.5,0.215390625,8103.125,1410.9375,5992187.5,2031250.0,3714062.5000000005,1868750.0,12.593844563142742
416812.50000000006,0.35539062499999996,9065.625,1507.8125,9395312.5,4231250.0,4107812.5,2218750.0,13.930395581608584
276562.5,0.449453125,8721.875,1092.1875,8439062.5,3443750.0,1154687.5,3531250.0,59.04021074922074
167937.5,0.414453125,9784.375,1839.0625,2364062.5,4581250.0,1801562.5,3756250.0,11.442155968125064
426437.50000000006,0.14320312500000001,9671.875,1957.8125,7764062.5,2831250.0,1210937.5,3006250.0,5.144088770098743
335687.5,0.425390625,8896.875,1748.4375,9198437.5,1468750.0,5317187.5,2031250.0,8.190341885335496
125312.5,0.229609375,8871.875,1414.0625,3629687.5000000005,2206250.0,6414062.5,1706250.0,20.682687174670992
375562.50000000006,0.23070312499999998,9290.625,1857.8125,7454687.500000001,1918750.0,1323437.5,1006250.0,5.68712778977262
464937.50000000006,0.13773437500000002,8559.375,1795.3125,8860937.5,4406250.0,8439062.5,2268750.0,4.943845741121076
378312.50000000006,0.10164062500000001,8403.125,1676.5625,9676562.5,3906250.0,4782812.5,4756250.0,8.665047070991594
195437.50000000003,0.313828125,9165.625,1104.6875,7398437.5,3331250.0,9564062.5,1818750.0,77.45403071411906
71687.5,0.30289062499999997,9753.125,1170.3125,7707812.5,4743750.0,7735937.500000001,2993750.0,226.16434948295895
418187.5,0.252578125,8715.625,1829.6875,9845312.5,3656250.0,5429687.5,1568750.0,5.895551236873445
240812.50000000003,0.212109375,9853.125,1654.6875,3404687.5,4631250.0,2167187.5,4318750.0,14.03934392822186
191312.5,0.266796875,9646.875,1114.0625,9985937.5,4968750.0,3376562.5,2556250.0,133.8270567338683
486937.5,0.138828125,9928.125,1560.9375,1660937.5,3618750.0000000005,3489062.5000000005,1881250.0,4.804610791488109
469062.5,0.361953125,8115.625,1060.9375,5007812.5,3131250.0,4726562.5,2431250.0,19.255340643317638
238062.5,0.43085937499999993,8509.375,1854.6875,5654687.5,2481250.0,7764062.5,1143750.0,4.940237815205484
434687.5,0.41007812499999996,8346.875,1607.8125,4951562.5,1106250.0,7145312.5,2281250.0,3.989901113758335
141812.5,0.396953125,9203.125,1057.8125,8045312.5,1793750.0,7623437.5,4781250.0,136.67973235988575
242187.5,0.259140625,9984.375,1367.1875,1379687.5,4081250.0000000005,6189062.500000001,4493750.0,17.80892982012114
458062.50000000006,0.416640625,8853.125,1132.8125,4023437.5,3968750.0,4501562.5,1556250.0,17.27609042933325
453937.50000000006,0.442890625,9840.625,1398.4375,5964062.5,4056250.0000000005,1435937.5,3193750.0,16.182914588531325
393437.5,0.126796875,9946.875,1942.1875,7201562.5,1506250.0,5964062.5,3543750.0,5.298735728010975
436062.5,0.41226562499999997,8296.875,1792.1875,9170312.5,2181250.0,3404687.5,1356250.0,4.660644478313058
478687.50000000006,0.324765625,9771.875,1185.9375,7904687.5,2768750.0,5035937.5,2106250.0,31.592623254185465
394812.5,0.13664062500000002,8496.875,1610.9375,6526562.500000001,1968750.0,9732812.5,3318750.0,6.269555373548111
409937.50000000006,0.42757812500000003,9384.375,1004.6875,5682812.5,3143750.0,2560937.5,3718750.0,49.782033833491575
159687.5,0.294140625,8503.125,1157.8125,1857812.5,4906250.0,1548437.5,2768750.0,48.47953451540144
445687.5,0.386015625,9909.375,1910.9375,1829687.5,1356250.0,7595312.500000001,2018750.0,1.3313073971679117
273812.5,0.334609375,9215.625,1342.1875,5739062.5,3206250.0,8889062.5,2731250.0,20.30362085147376
144562.5,0.40460937500000005,8340.625,1860.9375,4135937.5000000005,3868750.0000000005,9704687.5,3381250.0,6.057488001828811
70312.5,0.238359375,9209.375,1089.0625,5260937.500000001,3556250.0000000005,7257812.5,1243750.0,171.19286199897473
309562.5,0.446171875,8753.125,1348.4375,1295312.5,2731250.0,7932812.500000001,4381250.0,4.860418117980835
177562.5,0.322578125,8784.375,1876.5625,2392187.5,2881250.0,4614062.5,4006250.0,4.588372847945136
126687.50000000001,0.321484375,9146.875,1129.6875,8692187.5,4318750.0,9085937.5,2956250.0,130.65722010459277
