Ym, Pr, L, W, F1, F2, F3, F4, Displacement
362654.20144402276,0.407618666411083,9483.790551110453,1851.010292873752,3919586.714614148,4909061.688684641,1271937.7427598687,2751439.6827316144,5.383635273688218
187652.6256574029,0.4339903476555872,9907.318048330671,1121.8470503912777,3433550.0193520854,1479981.5117537796,2217299.5225953935,2548579.586561998,46.774285368304675
327293.1087097388,0.18184205928802763,9033.198575387069,1889.2411378424258,7188800.0560268415,3691772.3142523384,8947526.018083842,2180747.2288912185,5.380099308332236
210059.53293516158,0.2588885279868254,8427.062582639785,1994.158741887933,3585158.2029412696,4994248.127738735,5728920.132596716,2402338.3251045677,3.972166075817576
75039.09847635607,0.33998683819171777,9308.744566303887,1727.3334571844384,2832870.8383274926,1888884.2784589287,9798384.919484543,4151711.8266035863,14.312381081602041
225587.10706002265,0.18104854408545418,9745.36945928736,1535.6726280429154,8546062.095259853,4673990.891504198,6376802.166796967,1045696.810289917,27.011085191161794
284053.26007527945,0.13470480389284445,9456.50804516048,1635.5612463803573,3054646.9796379665,1984397.0761653492,1641876.1216601534,2200373.0216093212,6.468290410000156
269198.1081987732,0.303135641286305,8644.484712853126,1473.8012041040947,3172930.0465088747,3401202.0921808598,5959690.467660984,4338169.83859675,8.724410341669989
91482.01853250405,0.33033893757054944,8233.06527579538,1151.7625314081213,8963784.78421393,4091948.1131154927,5600543.8761012275,1421412.704681421,127.13462375108521
317147.08821781294,0.20191850846524068,8399.39095247323,1603.2563280674744,1428789.1892970598,1279973.0033592156,1562318.8630918511,1917104.2336544204,2.36432061056643
249827.2386685859,0.3138843946617166,9652.029009238202,1591.5264833825354,5116195.861554059,2921482.3228433314,4378809.970360948,2084830.0293458048,12.548650429819137
182902.74961194705,0.1755612717703855,8167.818287963125,1521.0103882147582,8319195.905582944,3474180.5248443363,3274296.5436931,4870431.014755501,21.3563159563184
262972.8182821948,0.3011005319092753,9858.986629281995,1234.1618907140185,5420324.747371403,2637194.306083757,9340825.903717447,3143417.265000917,34.25142557721357
